"evaluation_tier","record_identifier","source_file","assertion_id","domain","official_source_locator","official_expected_value","expected_mapped_meaning","baseline_import_status","stored_database_value","api_observation","classification","eligible_for_semantic_denominator","rationale"
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-11","source_description","count(//mei:manifestation); count(//mei:manifestation//mei:item)","{""held_items"":0,""manifestations"":0}","Represent the asserted manifestations, held items, repositories, locations, and hand information in the intended source-reference domain.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""rows"":[],""source_reference_count"":0}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""sources"":[]},""index_present"":true}","preserved","true","The official source has no manifestations or held items and the intended source-reference domain is empty in both database and API, preserving the asserted absence. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 417","dcm-catalogue-data/cnw/data-cnw/712a43e2-d3d6-463a-88fa-0b7e88e4dbf8.xml","417-12","performance_and_relation_absence","count((//mei:work)[1]//mei:event); count((//mei:work)[1]//mei:relation[@target] | (//mei:work)[1]//mei:ref[@target] | (//mei:work)[1]//mei:ptr[@target])","{""events"":0,""relation_ref_ptr_targets"":0}","Preserve the asserted absence of performance events and target-bearing relation/ref/ptr structures.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information,no_external_references","{""external_reference_count"":0,""performance_count"":0}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""external_reference_count"":0,""performance_count"":0},""index_present"":true}","preserved","true","Both asserted absences are retained: the database has zero performance rows and zero external-reference rows, and the API exposes the same empty arrays. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-01","work_identity","count(//mei:work); (//mei:work)[1]/mei:identifier[1]","{""identifier"":{""type"":""CNW"",""value"":""277""},""work_count"":1}","Represent the official work as one stored work and retain its direct CNW identifier.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""277""},{""type"":""CNU"",""value"":""III/5, 215""},{""type"":""CNS"",""value"":""226""},{""type"":""FS"",""value"":""3q""}],""title"":""Se! Luften er stille"",""work_id"":308}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""277""},{""type"":""CNU"",""value"":""III/5, 215""},{""type"":""CNS"",""value"":""226""},{""type"":""FS"",""value"":""3q""}],""id"":308,""source_identifier"":""work_d1e191187"",""title"":""Se! Luften er stille""},""index_present"":true}","preserved","true","One work row remains and the asserted CNW identifier type/value is stored. The API detail exposes the same database identifier inventory. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-02","responsibility","(//mei:work)[1]/mei:contributor//mei:persName","[{""name"":""Carl Nielsen"",""role"":""composer""},{""name"":""Jeremiah Joseph Callanan"",""role"":""author""},{""name"":""Caralis [Christian Preetzmann]"",""role"":""translator""}]","Retain the asserted contributor identities together with their catalogue roles.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""composer_name"":""Niels Bo Foltmann"",""other_contributor_rows"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""composer"":{""id"":1,""name"":""Niels Bo Foltmann""},""contributor_roles"":[]},""index_present"":true}","incorrect","true","The stored composer is Niels Bo Foltmann, not the asserted Carl Nielsen contributor; additional asserted roles and people are absent. The API repeats this contradictory composer value, so the compound responsibility meaning is incorrect rather than merely incomplete. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-03","catalogue_identifier","(//mei:work)[1]/mei:identifier","[{""type"":""CNW"",""value"":""277""},{""type"":""CNU"",""value"":""III/5, 215""},{""type"":""CNS"",""value"":""226""},{""type"":""FS"",""value"":""3q""}]","Retain the asserted identifier types and values without conflating types; preserve source order where the assertion requires it.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""catalogue_number"":""277"",""ordering_basis"":""database primary-key ascending; importer creates rows sequentially, but no explicit source-position column exists"",""rows"":[{""database_id"":1211,""type"":""CNW"",""value"":""277""},{""database_id"":1212,""type"":""CNU"",""value"":""III/5, 215""},{""database_id"":1213,""type"":""CNS"",""value"":""226""},{""database_id"":1214,""type"":""FS"",""value"":""3q""}]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""catalogue_identifiers"":[{""type"":""CNW"",""value"":""277""},{""type"":""CNU"",""value"":""III/5, 215""},{""type"":""CNS"",""value"":""226""},{""type"":""FS"",""value"":""3q""}],""catalogue_number"":""277""},""index_present"":true}","preserved","true","The asserted identifier types and values are all present in the database and API detail. No material identifier meaning in this assertion is lost. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-04","title","(//mei:work)[1]/mei:title","{""count"":5,""titles"":[{""language"":""da"",""text"":""Serenade"",""type"":""""},{""language"":""en"",""text"":""Serenade"",""type"":""""},{""language"":""da"",""text"":""See! Luften er stille"",""type"":""alternative""},{""language"":""en"",""text"":""The blue waves are sleeping"",""type"":""alternative""},{""language"":""da"",""text"":""Se! Luften er stille"",""type"":""uniform""}]}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""alternate_title_rows"":[],""stored_title"":""Se! Luften er stille"",""title_language_or_type_fields"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""alternate_titles"":[],""title"":""Se! Luften er stille"",""title_language_or_type_fields"":[]},""index_present"":true}","incorrect","true","The database selects the uniform title 'Se! Luften er stille' instead of the asserted first untyped title 'Serenade', and retains no other title rows. This materially contradicts the asserted selected-title meaning, so the compound assertion is incorrect. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-05","title","(//mei:work)[1]/mei:title","{""languages"":[""da"",""en"",""da"",""en"",""da""],""types"":["""","""",""alternative"",""alternative"",""uniform""]}","Retain the asserted title texts, types, languages, count, and selected display-title meaning.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""alternate_title_rows"":[],""stored_title"":""Se! Luften er stille"",""title_language_or_type_fields"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""alternate_titles"":[],""title"":""Se! Luften er stille"",""title_language_or_type_fields"":[]},""index_present"":true}","omitted","true","Title-language and title-type metadata are not represented in the database or API. Any retained display title does not preserve the asserted multilingual/type structure, so the missing non-contradictory information is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-06","composition_date","(//mei:work)[1]/mei:creation/mei:date","{""creation_text"":""Between c. 1886 and 1888"",""date"":{""id"":""idm105"",""notafter"":""1888"",""notbefore"":""1886"",""text"":""Between c. 1886 and 1888""}}","Retain the asserted date text, exact value or bounds, precision, and uncertainty rather than only an undifferentiated year.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""composition_date"":""Between c. 1886 and 1888"",""composition_year"":1886,""structured_bounds_or_uncertainty_fields"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""composition_date"":""Between c. 1886 and 1888"",""composition_year"":1886},""index_present"":true}","transformed as intended","true","The complete uncertain/ranged date wording remains in composition_date and the lower bound is normalized to composition_year. Structured notbefore/notafter fields are absent, but the stored date text retains the full asserted bounds and uncertainty, so this is a defensible transformation rather than a loss of meaning. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-07","component_structure","count((//mei:work)[1]//mei:expression); count((//mei:work)[1]//mei:componentList)","{""component_lists"":0,""expressions"":1}","Represent the asserted expression/component hierarchy and representative component values without assuming every expression is a musical movement.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""expression_or_component_rows"":[],""movement_count"":0,""movement_rows"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""expression_or_component_fields"":[],""movements"":[]},""index_present"":true}","omitted","true","The importer does not map MEI expression/component structures to the baseline model; zero movement rows do not represent the asserted hierarchy or values. The source structure is therefore omitted, and no claim is made that each expression is a musical movement. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-08","instrumentation","(//mei:work)[1]//mei:perfRes[normalize-space()]","[{""codedval"":""vn"",""count"":""1"",""name"":""voice"",""solo"":""false""},{""codedval"":""ka"",""count"":""1"",""name"":""pf."",""solo"":""false""}]","Retain the asserted performance-resource count plus representative names, codes, counts, grouping, and solo attributes.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""codedval_or_solo_fields"":[],""instrumentation_count"":2,""rows"":[{""name"":""1 voice"",""section"":""perfResList""},{""name"":""1 pf."",""section"":""perfResList""}]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""instrumentation"":[""1 pf."",""1 voice""],""instrumentation_sections_or_attributes"":[]},""index_present"":true}","omitted","true","The resource name and count are combined into an instrumentation name, but codedval and solo attributes are absent. Because material non-contradictory parts of the compound assertion are missing, it is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-09","source_description","count(//mei:manifestation); count(//mei:manifestation//mei:item)","{""held_items"":1,""manifestations"":2}","Represent the asserted manifestations, held items, repositories, locations, and hand information in the intended source-reference domain.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""rows"":[],""source_reference_count"":0}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""sources"":[]},""index_present"":true}","omitted","true","The official manifestation/item information has no stored source-reference representation; the database and API source arrays are empty. The asserted information is missing without a contradictory replacement, so it is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-10","source_description","//mei:manifestation[1]/mei:titleStmt/mei:title[1]; //mei:manifestation[1]//mei:item[1]//mei:repository[1]","{""item_identifier"":""A"",""location"":""CNS 226 (in CNS 250a)"",""manifestation_title"":""Score, autograph, fair copy"",""repository"":""DK-Kk""}","Represent the asserted manifestations, held items, repositories, locations, and hand information in the intended source-reference domain.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""rows"":[],""source_reference_count"":0}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""sources"":[]},""index_present"":true}","omitted","true","The official manifestation/item information has no stored source-reference representation; the database and API source arrays are empty. The asserted information is missing without a contradictory replacement, so it is omitted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-11","performance_event","(//mei:work)[1]//mei:event[1]","{""event_count"":1,""first_event"":{""corporations"":[],""date"":"""",""description"":"""",""element_text"":"""",""people"":[],""place"":"""",""venue"":""""}}","Represent the asserted catalogue event count and representative date, place, venue, people, corporations, and roles in the performance domain.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""performance_count"":0,""rows"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""performances"":[]},""index_present"":true}","omitted","true","The official event structure is not represented: the canonical database has zero performance rows and the API performance array is empty. The asserted event information is omitted rather than contradicted. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 277","dcm-catalogue-data/cnw/data-cnw/cnw0277.xml","277-12","relation_target","(//mei:work)[1]//mei:relation[@target] | (//mei:work)[1]//mei:ref[@target] | (//mei:work)[1]//mei:ptr[@target]","{""absolute_count"":1,""count"":7,""internal_count"":6,""targets"":[{""element"":""ref"",""label"":""CNW 276"",""relation"":"""",""target"":""document.xq?doc=cnw0276.xml""},{""element"":""ref"",""label"":""CNW 278"",""relation"":"""",""target"":""document.xq?doc=cnw0278.xml""},{""element"":""ref"",""label"":""CNW 279"",""relation"":"""",""target"":""document.xq?doc=cnw0279.xml""},{""element"":""ref"",""label"":""CNW 355"",""relation"":"""",""target"":""document.xq?doc=46c22e1e-500d-40f9-ba0c-2022e6ca974d.xml""},{""element"":""ref"",""label"":""CNW 356"",""relation"":"""",""target"":""document.xq?doc=cnw0358.xml""},{""element"":""ptr"",""label"":""Carl Nielsen Edition (Editorial Texts)"",""relation"":"""",""target"":""/dcm/assets/cnu/pdf/CNU_III_07_songs_4.pdf""},{""element"":""relation"",""label"":""Carl Nielsen Edition"",""relation"":""hasReproduction"",""target"":""http://www.kb.dk/export/sites/kb_dk/da/nb/dcm/cnu/pdf/CNU_III_05_songs_2.pdf#page=94""}]}","Retain asserted targets and relation categories while distinguishing internal/relative graph targets from external URLs.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""external_reference_count"":7,""mechanical_target_categories"":{""absolute_http_url"":1,""relative_target"":5,""root_relative_target"":1},""rows"":[{""label"":""276"",""target"":""document.xq?doc=cnw0276.xml""},{""label"":""278"",""target"":""document.xq?doc=cnw0278.xml""},{""label"":""279"",""target"":""document.xq?doc=cnw0279.xml""},{""label"":""355"",""target"":""document.xq?doc=46c22e1e-500d-40f9-ba0c-2022e6ca974d.xml""},{""label"":""356"",""target"":""document.xq?doc=cnw0358.xml""},{""label"":""External reference"",""target"":""/dcm/assets/cnu/pdf/CNU_III_07_songs_4.pdf""},{""label"":""hasReproduction"",""target"":""http://www.kb.dk/export/sites/kb_dk/da/nb/dcm/cnu/pdf/CNU_III_05_songs_2.pdf#page=94""}],""stored_domain"":""ExternalReference""}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""external_reference_count"":7,""external_references"":[{""label"":""276"",""url"":""document.xq?doc=cnw0276.xml""},{""label"":""278"",""url"":""document.xq?doc=cnw0278.xml""},{""label"":""279"",""url"":""document.xq?doc=cnw0279.xml""},{""label"":""355"",""url"":""document.xq?doc=46c22e1e-500d-40f9-ba0c-2022e6ca974d.xml""},{""label"":""356"",""url"":""document.xq?doc=cnw0358.xml""},{""label"":""External reference"",""url"":""/dcm/assets/cnu/pdf/CNU_III_07_songs_4.pdf""},{""label"":""hasReproduction"",""url"":""http://www.kb.dk/export/sites/kb_dk/da/nb/dcm/cnu/pdf/CNU_III_05_songs_2.pdf#page=94""}],""relation_or_target_category_fields"":[]},""index_present"":true}","incorrect","true","The target strings and count are retained, but internal/relative targets are stored and exposed as ExternalReference rows. That is a material category mislabelling, so the compound assertion is incorrect despite retained target values. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 63","dcm-catalogue-data/cnw/data-cnw/cnw0063.xml","63-01","work_identity","count(//mei:work); (//mei:work)[1]/mei:identifier[@label='CNW']","{""cnw"":[{""type"":""CNW"",""value"":""63""}],""work_count"":1}","Represent the official work as one stored work and retain its direct CNW identifier.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""catalogue_identifiers"":[{""type"":""Opus"",""value"":""9""},{""type"":""CNW"",""value"":""63""},{""type"":""CNU"",""value"":""II/11""},{""type"":""CNS"",""value"":""24""},{""type"":""FS"",""value"":""20""}],""title"":""Sonate nr. 1 for violin og klaver, opus 9"",""work_id"":94}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""catalogue_identifiers"":[{""type"":""Opus"",""value"":""9""},{""type"":""CNW"",""value"":""63""},{""type"":""CNU"",""value"":""II/11""},{""type"":""CNS"",""value"":""24""},{""type"":""FS"",""value"":""20""}],""id"":94,""source_identifier"":""work_d1e948931"",""title"":""Sonate nr. 1 for violin og klaver, opus 9""},""index_present"":true}","preserved","true","One work row remains and the asserted CNW identifier type/value is stored. The API detail exposes the same database identifier inventory. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
"detailed_fidelity","CNW 63","dcm-catalogue-data/cnw/data-cnw/cnw0063.xml","63-02","responsibility","(//mei:work)[1]/mei:contributor//mei:persName","[{""name"":""Carl Nielsen"",""role"":""composer""},{""name"":""Henri Marteau"",""role"":""dedicatee""}]","Retain the asserted contributor identities together with their catalogue roles.","success with warning; ImportLog=success; warnings=no_movements,no_source_references,no_performance_information","{""composer_name"":""Niels Bo Foltmann"",""other_contributor_rows"":[]}","{""database_equality"":true,""detail_http_status"":200,""exposed"":{""composer"":{""id"":1,""name"":""Niels Bo Foltmann""},""contributor_roles"":[]},""index_present"":true}","incorrect","true","The stored composer is Niels Bo Foltmann, not the asserted Carl Nielsen contributor; additional asserted roles and people are absent. The API repeats this contradictory composer value, so the compound responsibility meaning is incorrect rather than merely incomplete. Limited API equality with the canonical database does not by itself establish official-source fidelity or usability."
